degenerate_target,n,t,target_entropy,target_kind,train_acc
1.0,16384,0.019999999552965164,nan,risk,1.0
0.0,16384,0.1495652198791504,nan,risk,0.820556640625
0.0,16384,0.2791304588317871,nan,risk,0.98095703125
0.0,16384,0.40869566798210144,nan,risk,0.974365234375
0.0,16384,0.5382608771324158,nan,risk,0.9853515625
0.0,16384,0.6678261160850525,nan,risk,0.87847900390625
0.0,16384,0.7973913550376892,nan,risk,0.86163330078125
0.0,16384,0.9269565939903259,nan,risk,0.9527587890625
0.0,16384,1.0565217733383179,nan,risk,0.88299560546875
0.0,16384,1.1860870122909546,nan,risk,0.92388916015625
0.0,16384,1.3156522512435913,nan,risk,0.96759033203125
0.0,16384,1.445217490196228,nan,risk,0.95404052734375
0.0,16384,1.5747824907302856,nan,risk,0.9493408203125
0.0,16384,1.7043477296829224,nan,risk,0.95843505859375
0.0,16384,1.833912968635559,nan,risk,0.91790771484375
0.0,16384,1.9634782075881958,nan,risk,0.9986572265625
0.0,16384,2.093043327331543,nan,risk,0.9998779296875
0.0,16384,2.2226085662841797,nan,risk,0.9998779296875
1.0,16384,2.3521738052368164,nan,risk,1.0
1.0,16384,2.481739044189453,nan,risk,1.0
0.0,16384,2.61130428314209,nan,risk,0.99969482421875
0.0,16384,2.7408695220947266,nan,risk,0.98248291015625
0.0,16384,2.8704347610473633,nan,risk,0.9625244140625
0.0,16384,3.0,nan,risk,0.89959716796875
