t,tau,lambda_parallel
5.000000000000000278e-02,0.000000000000000000e+00,1.048683121697013387e+00
5.000000000000000278e-02,1.265822784810126649e+02,8.990448107670212519e-01
5.000000000000000278e-02,2.531645569620253298e+02,8.990448107670212519e-01
5.000000000000000278e-02,3.797468354430379804e+02,8.990448107670212519e-01
5.000000000000000278e-02,5.063291139240506595e+02,8.990448107670212519e-01
5.000000000000000278e-02,6.329113924050633386e+02,8.990448107670212519e-01
5.000000000000000278e-02,7.594936708860759609e+02,8.990448107670212519e-01
5.000000000000000278e-02,8.860759493670886968e+02,8.990448107670212519e-01
5.000000000000000278e-02,1.012658227848101319e+03,8.990448107670212519e-01
5.000000000000000278e-02,1.139240506329113941e+03,8.990448107670212519e-01
5.000000000000000278e-02,1.265822784810126677e+03,8.990448107670212519e-01
5.000000000000000278e-02,1.392405063291139413e+03,8.990448107670212519e-01
5.000000000000000278e-02,1.518987341772151922e+03,8.990448107670212519e-01
5.000000000000000278e-02,1.645569620253164658e+03,8.990448107670212519e-01
5.000000000000000278e-02,1.772151898734177394e+03,8.990448107670212519e-01
5.000000000000000278e-02,1.898734177215189902e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.025316455696202638e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.151898734177215374e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.278481012658227883e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.405063291139240846e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.531645569620253355e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.658227848101265863e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.784810126582278826e+03,8.990448107670212519e-01
5.000000000000000278e-02,2.911392405063291335e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.037974683544303844e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.164556962025316807e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.291139240506329315e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.417721518987341824e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.544303797468354787e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.670886075949367296e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.797468354430379804e+03,8.990448107670212519e-01
5.000000000000000278e-02,3.924050632911392768e+03,8.990448107670212519e-01
