t,tau,beta_glass_approx
5.000000000000000278e-02,0.000000000000000000e+00,8.000000000000000000e+10
5.000000000000000278e-02,1.265822784810126649e+02,1.420953754524366223e-02
5.000000000000000278e-02,2.531645569620253298e+02,1.240428807460208262e-02
5.000000000000000278e-02,3.797468354430379804e+02,1.217910383153942774e-02
5.000000000000000278e-02,5.063291139240506595e+02,1.214701152140018094e-02
5.000000000000000278e-02,6.329113924050633386e+02,1.214235508195937556e-02
5.000000000000000278e-02,7.594936708860759609e+02,1.214167770784059519e-02
5.000000000000000278e-02,8.860759493670886968e+02,1.214157913296729993e-02
5.000000000000000278e-02,1.012658227848101319e+03,1.214156478707483292e-02
5.000000000000000278e-02,1.139240506329113941e+03,1.214156269925813908e-02
5.000000000000000278e-02,1.265822784810126677e+03,1.214156239540924338e-02
5.000000000000000278e-02,1.392405063291139413e+03,1.214156235118880531e-02
5.000000000000000278e-02,1.518987341772151922e+03,1.214156234475321540e-02
5.000000000000000278e-02,1.645569620253164658e+03,1.214156234381661564e-02
5.000000000000000278e-02,1.772151898734177394e+03,1.214156234368030801e-02
5.000000000000000278e-02,1.898734177215189902e+03,1.214156234366047145e-02
5.000000000000000278e-02,2.025316455696202638e+03,1.214156234365758487e-02
5.000000000000000278e-02,2.151898734177215374e+03,1.214156234365716333e-02
5.000000000000000278e-02,2.278481012658227883e+03,1.214156234365710262e-02
5.000000000000000278e-02,2.405063291139240846e+03,1.214156234365709394e-02
5.000000000000000278e-02,2.531645569620253355e+03,1.214156234365709221e-02
5.000000000000000278e-02,2.658227848101265863e+03,1.214156234365709221e-02
5.000000000000000278e-02,2.784810126582278826e+03,1.214156234365709221e-02
5.000000000000000278e-02,2.911392405063291335e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.037974683544303844e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.164556962025316807e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.291139240506329315e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.417721518987341824e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.544303797468354787e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.670886075949367296e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.797468354430379804e+03,1.214156234365709221e-02
5.000000000000000278e-02,3.924050632911392768e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.050632911392405276e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.177215189873418240e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.303797468354430748e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.430379746835443257e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.556962025316455765e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.683544303797468274e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.810126582278481692e+03,1.214156234365709221e-02
5.000000000000000278e-02,4.936708860759494200e+03,1.214156234365709221e-02
5.000000000000000278e-02,5.063291139240506709e+03,1.214156234365709221e-02
5.000000000000000278e-02,5.189873417721519218e+03,1.214156234365709221e-02
5.000000000000000278e-02,5.316455696202531726e+03,1.214156234365709221e-02
5.000000000000000278e-02,5.443037974683544235e+03,1.214156234365709221e-02
5.000000000000000278e-02,5.569620253164557653e+03,1.214156234365709221e-02
5.000000000000000278e-02,5.696202531645570161e+03,1.214156234365709221e-02
